,Unnamed: 0,Unnamed: 0.1,index,season,team,description,attackspeed,statF,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
0,0,0,Fast,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,Fast,Fast,27,3,3.79197229165584,34.0,8.0,5.890446720644832,-2.098474428988993,0.1404434182094755,0.1732484329601421,71
1,1,1,Normal,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,Normal,Normal,251,16,17.34502517990768,296.0,29.0,30.14482699893415,-12.79980181902647,0.0691036859757278,0.10184063175315593,71
2,2,2,Slow,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,Slow,Slow,19,1,0.8181363996118307,34.0,5.0,3.57053439412266,-2.752397994510829,0.04305981050588583,0.10501571747419587,71
3,3,3,Standard,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,Standard,Standard,120,11,11.239094268530607,117.0,15.0,11.959394648205487,-0.7203003796748817,0.09365911890442173,0.10221704827526057,71
4,4,0,Fast,2014,Everton,Everton xG stats for the 2014/2015 season ,Fast,Fast,27,6,4.395176229067147,22.0,2.0,2.7855997141450644,1.6095765149220824,0.1627843047802647,0.12661816882477564,72
5,5,1,Normal,2014,Everton,Everton xG stats for the 2014/2015 season ,Normal,Normal,309,25,23.650299212895327,336.0,31.0,30.146115854382515,-6.495816641487181,0.07653818515500108,0.08972058289994796,72
6,6,2,Slow,2014,Everton,Everton xG stats for the 2014/2015 season ,Slow,Slow,26,2,3.329981167335063,24.0,3.0,1.9824277376756072,1.347553429659456,0.12807619874365628,0.08260115573648362,72
7,7,3,Standard,2014,Everton,Everton xG stats for the 2014/2015 season ,Standard,Standard,123,15,15.715902213007213,123.0,14.0,13.651591972447932,2.06431024055928,0.1277715627073757,0.1109885526215279,72
8,8,0,Fast,2014,Southampton,Southampton xG stats for the 2014/2015 season ,Fast,Fast,26,4,3.069440972991288,19.0,4.0,4.627568921074271,-1.5581279480829835,0.11805542203812645,0.243556259003909,74
9,9,1,Normal,2014,Southampton,Southampton xG stats for the 2014/2015 season ,Normal,Normal,332,36,39.49226045701653,240.0,21.0,21.821111822035164,17.671148634981364,0.1189525917380016,0.09092129925847983,74
10,10,2,Slow,2014,Southampton,Southampton xG stats for the 2014/2015 season ,Slow,Slow,27,5,4.798005649819969,18.0,0.0,0.8632824392989278,3.9347232105210415,0.1777039129562952,0.0479601355166071,74
11,11,3,Standard,2014,Southampton,Southampton xG stats for the 2014/2015 season ,Standard,Standard,130,9,13.472076194360852,108.0,8.0,12.263635009527205,1.2084411848336458,0.10363135534123732,0.1135521760141408,74
12,12,0,Fast,2014,Leicester,Leicester xG stats for the 2014/2015 season ,Fast,Fast,49,8,8.713733399286866,40.0,3.0,5.491104356013238,3.2226290432736278,0.17783129386299726,0.13727760890033094,75
13,13,1,Normal,2014,Leicester,Leicester xG stats for the 2014/2015 season ,Normal,Normal,270,21,26.19268792262301,327.0,31.0,32.83574645128101,-6.643058528658003,0.0970099552689741,0.10041512676232724,75
14,14,2,Slow,2014,Leicester,Leicester xG stats for the 2014/2015 season ,Slow,Slow,10,2,1.539356991648674,31.0,3.0,4.4720979440025985,-2.9327409523539245,0.1539356991648674,0.14426122400008382,75
15,15,3,Standard,2014,Leicester,Leicester xG stats for the 2014/2015 season ,Standard,Standard,129,15,13.113652777858078,165.0,18.0,20.009907477535307,-6.896254699677229,0.10165622308417116,0.12127216653051702,75
16,16,0,Fast,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,Fast,Fast,9,0,0.7589376466348767,28.0,3.0,2.77216749638319,-2.013229849748313,0.08432640518165296,0.09900598201368536,76
17,17,1,Normal,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,Normal,Normal,256,13,20.143560567405075,346.0,25.0,28.818899862002574,-8.675339294597508,0.07868578346642607,0.08329161809827336,76
18,18,2,Slow,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,Slow,Slow,27,2,1.7013091854751108,28.0,1.0,0.755902508739382,0.945406676735729,0.06301145131389299,0.026996518169263645,76
19,19,3,Standard,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,Standard,Standard,120,23,17.633527372032407,145.0,22.0,22.107008565217253,-4.4734811931848535,0.14694606143360334,0.15246212803598108,76
20,20,0,Fast,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,Fast,Fast,22,2,2.2994873160496354,23.0,2.0,2.499627797864377,-0.2001404818147421,0.10452215072952888,0.10867946947236423,77
21,21,1,Normal,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,Normal,Normal,253,16,25.153756553307176,443.0,36.0,36.81444838363677,-11.660691830329595,0.0994219626612932,0.08310259228811913,77
22,22,2,Slow,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,Slow,Slow,12,0,0.3199499947950244,40.0,6.0,3.786309957504273,-3.466359962709248,0.02666249956625204,0.0946577489376068,77
23,23,3,Standard,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,Standard,Standard,122,13,10.850116243585944,125.0,9.0,13.479449005797505,-2.6293327622115608,0.08893537904578643,0.10783559204638003,77
24,24,0,Fast,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,Fast,Fast,36,1,3.4862475153058767,20.0,4.0,2.4869059091433883,0.9993416061624883,0.09684020875849657,0.1243452954571694,78
