,Unnamed: 0,Unnamed: 0.1,index,season,team,description,gamestate,statF,timeF,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF90,xGA90,team_id
22,22,2,Goal diff 0,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,Goal diff 0,Goal diff 0,1760,173,19,16.81760017760098,247.0,22.0,20.956066216342148,-4.138466038741171,0.8599909181727773,1.0716170224265873,76
23,23,3,Goal diff < -1,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,Goal diff < -1,Goal diff < -1,548,91,5,8.483362947124988,98.0,8.0,11.407752255909145,-2.9243893087841566,1.3932530387614033,1.873535954437633,76
24,24,4,Goal diff > +1,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,Goal diff > +1,Goal diff > +1,147,16,3,1.0664222072809937,25.0,1.0,3.4915693355724216,-2.425147128291428,0.6529115554781593,2.137695511574952,76
25,25,0,Goal diff +1,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,Goal diff +1,Goal diff +1,379,33,4,4.601195640861988,70.0,11.0,7.518173326738179,-2.9169776858761907,1.0926322102310788,1.7853182042386175,77
26,26,1,Goal diff -1,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,Goal diff -1,Goal diff -1,505,60,7,7.276368333026768,103.0,10.0,11.448522594757378,-4.172154261730611,1.2967785147968496,2.040330759461712,77
27,27,2,Goal diff 0,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,Goal diff 0,Goal diff 0,2337,267,18,24.1154850544408,396.0,21.0,27.864641610533,-3.7491565560922013,0.9287093089001592,1.073092744949923,77
28,28,3,Goal diff < -1,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,Goal diff < -1,Goal diff < -1,279,45,2,2.316435773856938,50.0,11.0,8.580878789536655,-6.264443015679718,0.7472373464054638,2.768025415979566,77
29,29,4,Goal diff > +1,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,Goal diff > +1,Goal diff > +1,69,4,0,0.3138253055512905,12.0,0.0,1.1676188232377172,-0.8537935176864266,0.4093373550669007,1.5229810737883267,77
30,30,0,Goal diff +1,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,Goal diff +1,Goal diff +1,410,45,9,6.87243078649044,80.0,5.0,6.2662535682320595,0.6061772182583809,1.5085823677661945,1.3755190759533793,78
31,31,1,Goal diff -1,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,Goal diff -1,Goal diff -1,761,120,11,12.450857967138289,88.0,11.0,7.168339783325791,5.282518183812499,1.4725061984789043,0.8477668600516705,78
