,Unnamed: 0,Unnamed: 0.1,description,goalsA,goalsF,index,result,season,shotsA,shotsF,team,xGA,xGA/Sh,xGD,xGF,xGF/Sh,team_id
0,0,0,Aston Villa xG stats for the 2014/2015 season ,0.0,0,BlockedShot,BlockedShot,2014,142.0,105,Aston_Villa,8.001861779484898,0.056351139292147176,-2.310035693924874,5.691826085560024,0.054207867481524036,71
1,1,1,Aston Villa xG stats for the 2014/2015 season ,57.0,31,Goal,Goal,2014,57.0,31,Aston_Villa,18.77412065118552,0.3293705377400967,-12.696147300302982,6.07797335088253,0.1960636564800816,71
2,2,2,Aston Villa xG stats for the 2014/2015 season ,0.0,0,MissedShots,MissedShots,2014,159.0,183,Aston_Villa,10.600321883335713,0.0666686910901617,1.766608266159892,12.366930149495602,0.06757885327593224,71
3,3,3,Aston Villa xG stats for the 2014/2015 season ,0.0,0,SavedShot,SavedShot,2014,112.0,93,Aston_Villa,12.722259448841214,0.11359160222179655,-3.945346472784877,8.776912976056337,0.0943754083446918,71
4,4,4,Aston Villa xG stats for the 2014/2015 season ,0.0,0,ShotOnPost,ShotOnPost,2014,11.0,5,Aston_Villa,1.4666389990597963,0.13333081809634512,-1.1860534213483334,0.28058557771146303,0.0561171155422926,71
5,5,0,Everton xG stats for the 2014/2015 season ,0.0,0,BlockedShot,BlockedShot,2014,176.0,141,Everton,9.068478373810649,0.051525445305742316,-0.8854379942640662,8.183040379546581,0.0580357473726708,72
6,6,1,Everton xG stats for the 2014/2015 season ,50.0,48,Goal,Goal,2014,50.0,48,Everton,17.777890410274264,0.3555578082054853,-0.9691108064725996,16.808779603801668,0.35018290841253474,72
7,7,2,Everton xG stats for the 2014/2015 season ,0.0,0,MissedShots,MissedShots,2014,193.0,173,Everton,14.668382243253289,0.07600198053499115,-3.528221397195012,11.140160846058281,0.06439399332981664,72
8,8,3,Everton xG stats for the 2014/2015 season ,0.0,0,SavedShot,SavedShot,2014,80.0,116,Everton,6.212379916571081,0.0776547489571385,3.0799212688580155,9.292301185429096,0.08010604470197498,72
9,9,4,Everton xG stats for the 2014/2015 season ,0.0,0,ShotOnPost,ShotOnPost,2014,6.0,7,Everton,0.8386043347418308,0.13976738912363848,0.8284724727272987,1.6670768074691296,0.2381538296384471,72
10,10,0,Southampton xG stats for the 2014/2015 season ,0.0,0,BlockedShot,BlockedShot,2014,98.0,129,Southampton,5.081450949423014,0.05185154030023485,3.6694556791335344,8.75090662855655,0.06783648549268644,74
11,11,1,Southampton xG stats for the 2014/2015 season ,33.0,54,Goal,Goal,2014,33.0,54,Southampton,9.896877908147873,0.2999053911559961,10.402577633038165,20.299455541186035,0.3759158433552969,74
12,12,2,Southampton xG stats for the 2014/2015 season ,0.0,0,MissedShots,MissedShots,2014,170.0,208,Southampton,13.796048153657464,0.08115322443327921,3.7139464798383415,17.509994633495808,0.08418266650719139,74
13,13,3,Southampton xG stats for the 2014/2015 season ,0.0,0,SavedShot,SavedShot,2014,77.0,113,Southampton,9.76752801053226,0.1268510131237956,2.6155538782477383,12.383081888779998,0.10958479547592916,74
14,14,4,Southampton xG stats for the 2014/2015 season ,0.0,0,ShotOnPost,ShotOnPost,2014,7.0,11,Southampton,1.0336931701749563,0.14767045288213662,0.8546514119952917,1.888344582170248,0.17166768928820436,74
15,15,0,Leicester xG stats for the 2014/2015 season ,0.0,0,BlockedShot,BlockedShot,2014,169.0,115,Leicester,8.83227690681815,0.05226199353146836,-1.8366605695337053,6.995616337284446,0.0608314464111691,75
16,16,1,Leicester xG stats for the 2014/2015 season ,55.0,46,Goal,Goal,2014,55.0,46,Leicester,22.320529118180275,0.40582780214873226,-7.163180334493518,15.157348783686755,0.32950758225405996,75
17,17,2,Leicester xG stats for the 2014/2015 season ,0.0,0,MissedShots,MissedShots,2014,208.0,200,Leicester,17.929215932264928,0.08619815352050443,-1.413054113741964,16.51616181852296,0.0825808090926148,75
18,18,3,Leicester xG stats for the 2014/2015 season ,0.0,0,SavedShot,SavedShot,2014,123.0,89,Leicester,12.363403100986035,0.10051547236574013,-2.6851019230671227,9.678301177918913,0.10874495705526868,75
19,19,4,Leicester xG stats for the 2014/2015 season ,0.0,0,ShotOnPost,ShotOnPost,2014,8.0,8,Leicester,1.3634311705827713,0.1704288963228464,-0.1514281965792179,1.2120029740035534,0.15150037175044415,75
20,20,0,West Bromwich Albion xG stats for the 2014/2015 season ,0.0,0,BlockedShot,BlockedShot,2014,163.0,109,West_Bromwich_Albion,9.603800961747766,0.05891902430520104,-3.544308748096228,6.059492213651537,0.055591671684876484,76
21,21,1,West Bromwich Albion xG stats for the 2014/2015 season ,51.0,38,Goal,Goal,2014,51.0,38,West_Bromwich_Albion,16.796703733503822,0.3293471320294866,-4.598711146041751,12.197992587462068,0.3209998049332123,76
22,22,2,West Bromwich Albion xG stats for the 2014/2015 season ,0.0,0,MissedShots,MissedShots,2014,190.0,163,West_Bromwich_Albion,12.62685230653733,0.06645711740282806,-1.1066747889854014,11.520177517551927,0.07067593569050264,76
23,23,3,West Bromwich Albion xG stats for the 2014/2015 season ,0.0,0,SavedShot,SavedShot,2014,131.0,93,West_Bromwich_Albion,13.321803766302766,0.10169315852139517,-5.311939322389662,8.009864443913102,0.08612757466573229,76
24,24,4,West Bromwich Albion xG stats for the 2014/2015 season ,0.0,0,ShotOnPost,ShotOnPost,2014,12.0,9,West_Bromwich_Albion,2.1048176642507315,0.1754014720208943,0.34499034471809864,2.44980800896883,0.2722008898854256,76
