,Unnamed: 0,shotzones,season,team,description,shotzones.1,statF,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
159,79,shotSixYardBox,2015,Watford,Watford xG stats for the 2015/2016 season ,shotSixYardBox,shotSixYardBox,20,6,6.6375232096761465,33.0,10.0,10.561559315770863,-3.924036106094718,0.3318761604838073,0.3200472519930565,90
160,0,ownGoals,2016,Everton,Everton xG stats for the 2016/2017 season ,ownGoals,ownGoals,4,4,4.0,1.0,1.0,1.0,3.0,1.0,1.0,72
161,1,shotOboxTotal,2016,Everton,Everton xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,198,3,6.15196669427678,179.0,8.0,5.9434096775949,0.20855701668187976,0.031070538859983725,0.03320340602008324,72
162,2,shotPenaltyArea,2016,Everton,Everton xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,271,44,34.54840316344053,241.0,27.0,32.400561666116126,2.147841497324407,0.12748488252192075,0.13444216458969346,72
163,3,shotSixYardBox,2016,Everton,Everton xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,33,11,9.16457388922572,27.0,8.0,8.149378411471844,1.0151954777538776,0.2777143602795673,0.3018288300545127,72
164,4,ownGoals,2016,Bournemouth,Bournemouth xG stats for the 2016/2017 season ,ownGoals,ownGoals,2,2,2.0,5.0,5.0,5.0,-3.0,1.0,1.0,73
165,5,shotOboxTotal,2016,Bournemouth,Bournemouth xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,201,4,6.628682524897157,222.0,9.0,7.094682626891881,-0.4660001019947231,0.032978520024363966,0.03195802985086433,73
166,6,shotPenaltyArea,2016,Bournemouth,Bournemouth xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,229,41,35.703004503622644,284.0,32.0,36.78302167961375,-1.0800171759910882,0.1559083166097059,0.12951768197047092,73
167,7,shotSixYardBox,2016,Bournemouth,Bournemouth xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,23,8,8.740857414901258,46.0,21.0,19.72987797856331,-10.989020563662052,0.3800372789087503,0.4289103908383328,73
168,8,ownGoals,2016,Southampton,Southampton xG stats for the 2016/2017 season ,ownGoals,ownGoals,2,2,2.0,0.0,0.0,0.0,2.0,1.0,,74
