,Unnamed: 0,Unnamed: 0.1,index,season,team,description,situation,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
374,74,4,SetPiece,2017,Manchester_City,Manchester City xG stats for the 2017/2018 season ,SetPiece,21,4,3.123864821158349,27.0,1.0,2.344145284034312,0.7797195371240377,0.1487554676742071,0.08682019570497451,88
375,75,0,DirectFreekick,2017,Manchester_United,Manchester United xG stats for the 2017/2018 season ,DirectFreekick,21,2,1.481772916391492,12.0,1.0,0.7842729426920414,0.6974999736994505,0.07056061506626153,0.06535607855767013,89
376,76,1,FromCorner,2017,Manchester_United,Manchester United xG stats for the 2017/2018 season ,FromCorner,65,7,7.638405970297754,61.0,5.0,8.457566531375049,-0.8191605610772967,0.11751393800458085,0.13864863166188607,89
377,77,2,OpenPlay,2017,Manchester_United,Manchester United xG stats for the 2017/2018 season ,OpenPlay,405,52,46.637374073266976,335.0,17.0,32.87850368861109,13.758870384655893,0.11515401005744935,0.09814478713018236,89
378,78,3,Penalty,2017,Manchester_United,Manchester United xG stats for the 2017/2018 season ,Penalty,3,1,2.2835065126419067,1.0,1.0,0.7611688375473022,1.5223376750946045,0.7611688375473022,0.7611688375473022,89
379,79,4,SetPiece,2017,Manchester_United,Manchester United xG stats for the 2017/2018 season ,SetPiece,19,6,3.9822703907266255,26.0,4.0,3.344104832038284,0.6381655586883426,0.2095931784592961,0.12861941661685705,89
380,80,0,DirectFreekick,2017,Watford,Watford xG stats for the 2017/2018 season ,DirectFreekick,10,0,0.6417779773473741,17.0,1.0,1.1670818347483871,-0.5253038574010134,0.06417779773473739,0.06865187263225808,90
381,81,1,FromCorner,2017,Watford,Watford xG stats for the 2017/2018 season ,FromCorner,67,6,5.976370298303664,68.0,9.0,8.226907157339156,-2.2505368590354915,0.08919955669109945,0.12098392878439936,90
382,82,2,OpenPlay,2017,Watford,Watford xG stats for the 2017/2018 season ,OpenPlay,324,32,33.58872388955206,286.0,41.0,37.02217502193525,-3.433451132383197,0.1036689008936792,0.12944816441236104,90
383,83,3,Penalty,2017,Watford,Watford xG stats for the 2017/2018 season ,Penalty,6,3,4.5670130252838135,6.0,6.0,4.5670130252838135,0.0,0.7611688375473022,0.7611688375473022,90
384,84,4,SetPiece,2017,Watford,Watford xG stats for the 2017/2018 season ,SetPiece,32,3,4.095130139961839,33.0,7.0,4.786904945969583,-0.6917748060077429,0.12797281687380746,0.14505772563544184,90
385,85,0,DirectFreekick,2017,Burnley,Burnley xG stats for the 2017/2018 season ,DirectFreekick,16,1,1.2182065974920988,13.0,0.0,0.7687290124595165,0.4494775850325823,0.07613791234325618,0.05913300095842435,92
386,86,1,FromCorner,2017,Burnley,Burnley xG stats for the 2017/2018 season ,FromCorner,72,3,6.5808377945795655,109.0,4.0,5.78526477701962,0.7955730175599456,0.0914005249247162,0.053075823642381836,92
387,87,2,OpenPlay,2017,Burnley,Burnley xG stats for the 2017/2018 season ,OpenPlay,245,28,22.446450280956928,419.0,30.0,40.89878344302997,-18.452333162073046,0.09161816441206908,0.09761046167787582,92
388,88,3,Penalty,2017,Burnley,Burnley xG stats for the 2017/2018 season ,Penalty,0,0,0.0,5.0,3.0,3.8058441877365112,-3.8058441877365112,,0.7611688375473022,92
389,89,4,SetPiece,2017,Burnley,Burnley xG stats for the 2017/2018 season ,SetPiece,43,4,4.606307855341584,19.0,2.0,2.3169884448871017,2.289319410454482,0.10712343849631588,0.12194676025721587,92
390,90,0,DirectFreekick,2017,Huddersfield,Huddersfield xG stats for the 2017/2018 season ,DirectFreekick,13,0,0.6871148869395256,19.0,0.0,0.999751813709736,-0.3126369267702103,0.05285499130304043,0.05261851651103873,219
391,91,1,FromCorner,2017,Huddersfield,Huddersfield xG stats for the 2017/2018 season ,FromCorner,62,5,7.857877542264759,80.0,6.0,9.55665034800768,-1.6987728057429194,0.12673996035910906,0.11945812935009599,219
