,Unnamed: 0,timing,season,team,description,timing.1,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
0,0,1-15,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,1-15,66,6,4.951680331490933,77.0,11.0,9.924834509380162,-4.973154177889229,0.07502545956804445,0.12889395466727482,71
1,1,16-30,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,16-30,69,7,7.244049065746367,64.0,5.0,6.787674030289054,0.456375035457313,0.10498621834415024,0.10605740672326648,71
2,2,31-45,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,31-45,84,8,5.2807570453733215,78.0,8.0,6.579257125966251,-1.2985000805929303,0.06286615530206334,0.08434945033290066,71
3,3,46-60,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,46-60,65,3,5.283049309626222,80.0,6.0,7.053881916217506,-1.7708326065912845,0.08127768168655726,0.08817352395271882,71
4,4,61-75,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,61-75,54,3,3.531737119890748,83.0,10.0,9.444202661514284,-5.912465541623533,0.0654025392572361,0.11378557423511185,71
5,5,76+,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,76+,79,4,6.9029552675783625,99.0,17.0,11.775352518539874,-4.872397250961511,0.08737918060225776,0.11894295473272602,71
6,6,1-15,2014,Everton,Everton xG stats for the 2014/2015 season ,1-15,68,8,6.586919789202511,83.0,3.0,6.504658928140997,0.08226086106151342,0.09686646748827224,0.07836938467639756,72
7,7,16-30,2014,Everton,Everton xG stats for the 2014/2015 season ,16-30,66,8,5.412325656041503,95.0,7.0,8.427811598405242,-3.015485942363739,0.08200493418244703,0.08871380629900255,72
8,8,31-45,2014,Everton,Everton xG stats for the 2014/2015 season ,31-45,77,8,5.958961990196258,80.0,9.0,8.096186238341032,-2.137224248144776,0.07738911675579556,0.10120232797926293,72
9,9,46-60,2014,Everton,Everton xG stats for the 2014/2015 season ,46-60,82,6,9.290108058601616,76.0,5.0,5.75551881827414,3.534589240327477,0.11329400071465387,0.075730510766765,72
10,10,61-75,2014,Everton,Everton xG stats for the 2014/2015 season ,61-75,84,8,8.61550310626626,83.0,15.0,10.881738257594408,-2.2662351513281465,0.10256551316983643,0.1311052802119808,72
11,11,76+,2014,Everton,Everton xG stats for the 2014/2015 season ,76+,108,10,11.227540221996604,88.0,11.0,8.899821437895296,2.3277187841013074,0.10395870575922783,0.10113433452153747,72
12,12,1-15,2014,Southampton,Southampton xG stats for the 2014/2015 season ,1-15,70,7,8.039868078194559,64.0,6.0,4.688649724237621,3.351218353956938,0.11485525825992228,0.07326015194121283,74
13,13,16-30,2014,Southampton,Southampton xG stats for the 2014/2015 season ,16-30,71,10,9.906547253020108,58.0,7.0,7.275777125731111,2.630770127288997,0.13952883454957898,0.12544443320226056,74
14,14,31-45,2014,Southampton,Southampton xG stats for the 2014/2015 season ,31-45,82,7,7.572018989361823,55.0,3.0,5.163970301859081,2.408048687502742,0.09234169499221737,0.09389036912471056,74
15,15,46-60,2014,Southampton,Southampton xG stats for the 2014/2015 season ,46-60,97,8,12.485689128749073,64.0,4.0,4.611722799949347,7.873966328799725,0.1287184446262791,0.07205816874920856,74
16,16,61-75,2014,Southampton,Southampton xG stats for the 2014/2015 season ,61-75,87,9,9.91212168801576,56.0,5.0,5.949126353487372,3.9629953345283866,0.11393243319558345,0.10623439916941736,74
17,17,76+,2014,Southampton,Southampton xG stats for the 2014/2015 season ,76+,108,13,12.915538136847315,88.0,8.0,11.886351886671035,1.0291862501762807,0.1195883160819196,0.1350721805303527,74
18,18,1-15,2014,Leicester,Leicester xG stats for the 2014/2015 season ,1-15,59,7,6.011096965521574,68.0,6.0,6.448680494911969,-0.4375835293903947,0.1018829994156199,0.0948335366898819,75
19,19,16-30,2014,Leicester,Leicester xG stats for the 2014/2015 season ,16-30,65,7,8.063254294916987,101.0,9.0,10.993012816645203,-2.9297585217282176,0.12405006607564595,0.10884171105589313,75
20,20,31-45,2014,Leicester,Leicester xG stats for the 2014/2015 season ,31-45,57,6,5.254302069544792,96.0,11.0,11.916991608217359,-6.662689538672566,0.09218073806218934,0.12413532925226416,75
21,21,46-60,2014,Leicester,Leicester xG stats for the 2014/2015 season ,46-60,102,10,11.411076283082366,110.0,12.0,12.413011685945095,-1.0019354028627276,0.11187329689296437,0.11284556078131905,75
22,22,61-75,2014,Leicester,Leicester xG stats for the 2014/2015 season ,61-75,70,6,6.483349145390093,84.0,8.0,8.50560046499595,-2.0222513196058567,0.09261927350557277,0.10125714839280893,75
23,23,76+,2014,Leicester,Leicester xG stats for the 2014/2015 season ,76+,105,10,12.336352332960816,104.0,9.0,12.531559158116579,-0.1952068251557648,0.11748906983772205,0.12049576113573633,75
24,24,1-15,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,1-15,64,7,5.839664467610419,83.0,14.0,10.13041719328612,-4.290752725675701,0.0912447573064128,0.12205321919621832,76
25,25,16-30,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,16-30,59,4,4.6336888084188095,82.0,7.0,7.46670260746032,-2.8330137990415096,0.07853709844777644,0.09105734887146733,76
26,26,31-45,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,31-45,64,5,6.417867999058218,85.0,11.0,9.340559339150788,-2.9226913400925696,0.10027918748528464,0.10988893340177397,76
