,Unnamed: 0,Unnamed: 0.1,description,formation,goalsA,goalsF,index,season,shotsA,shotsF,statF,team,timeF,xGA,xGA90,xGD,xGF,xGF90,team_id
23,23,0,Leicester xG stats for the 2014/2015 season ,3-4-1-2,1.0,10,3-4-1-2,2014,53.0,62,3-4-1-2,Leicester,370,3.0503970691934232,0.7419884762902921,5.520999061875045,8.571396131068468,2.0849341940436816,75
24,24,1,Leicester xG stats for the 2014/2015 season ,3-4-3,0.0,1,3-4-3,2014,7.0,13,3-4-3,Leicester,78,0.3272075448185205,0.37754716709829295,0.4151673298329115,0.742374874651432,0.8565863938285754,75
25,25,2,Leicester xG stats for the 2014/2015 season ,3-5-2,0.0,1,3-5-2,2014,4.0,12,3-5-2,Leicester,30,0.8583059571683407,2.574917871505022,1.165077006444335,2.023382963612676,6.070148890838027,75
26,26,3,Leicester xG stats for the 2014/2015 season ,4-1-2-1-2,3.0,2,4-1-2-1-2,2014,27.0,22,4-1-2-1-2,Leicester,198,2.5677209468558435,1.167145884934474,0.6283448045141995,3.1960657513700426,1.4527571597136557,75
27,27,4,Leicester xG stats for the 2014/2015 season ,4-1-4-1,0.0,2,4-1-4-1,2014,31.0,11,4-1-4-1,Leicester,150,3.0368613959290087,1.8221168375574048,-1.795205922331661,1.2416554735973475,0.7449932841584086,75
28,28,5,Leicester xG stats for the 2014/2015 season ,4-2-3-1,3.0,1,4-2-3-1,2014,24.0,27,4-2-3-1,Leicester,213,2.9079929543659087,1.2287294173377081,0.1109228255227208,3.01891577988863,1.2755982168543507,75
29,29,6,Leicester xG stats for the 2014/2015 season ,4-3-3,6.0,3,4-3-3,2014,29.0,21,4-3-3,Leicester,166,3.872438245452942,2.0995147113901482,-2.019343432970345,1.853094812482596,1.0046899585749012,75
30,30,7,Leicester xG stats for the 2014/2015 season ,4-4-1-1,4.0,3,4-4-1-1,2014,31.0,30,4-4-1-1,Leicester,232,3.934092121198773,1.5261564263271103,-1.4530692491680384,2.4810228720307346,0.9624657693222678,75
31,31,8,Leicester xG stats for the 2014/2015 season ,4-4-2,22.0,13,4-4-2,2014,232.0,162,4-4-2,Leicester,1284,24.07697314117104,1.6876383042876897,-7.94678926281631,16.130183878354725,1.1306203653052378,75
32,32,9,Leicester xG stats for the 2014/2015 season ,4-5-1,4.0,1,4-5-1,2014,23.0,22,4-5-1,Leicester,191,3.3423143364489083,1.574912514557077,-1.489893757738173,1.8524205787107348,0.8728683355181474,75
